date,provider,corridor,amount,total_cost_pct,zscore,zscore_anomaly,iqr_anomaly,isolation_anomaly,anomaly_votes,is_provider_anomaly
2024-01-01,WorldRemit,USA-Kenya,200,9.161932034290622,2.7300468215773184,True,True,True,3,True
2024-01-02,WorldRemit,USA-Kenya,100,12.569464286534554,4.453855782228386,True,True,True,3,True
2024-01-02,WorldRemit,UK-Kenya,200,11.302189580522175,3.812764419881919,True,True,True,3,True
2024-01-02,Western Union,UK-Kenya,100,10.60842279142988,3.461800344090156,True,True,True,3,True
2024-01-03,Western Union,UK-Kenya,100,16.73406688226309,6.560652942355054,True,True,True,3,True
2024-01-04,WorldRemit,USA-Kenya,200,10.227929327989543,3.26931557998684,True,True,True,3,True
2024-01-04,Wise,UK-Kenya,100,14.013478073474742,5.1843562502993725,True,True,True,3,True
2024-01-09,MoneyGram,USA-Kenya,100,16.71215894290296,6.549570111912723,True,True,True,3,True
2024-01-11,MoneyGram,UK-Kenya,200,10.735717624785453,3.5261964988847057,True,True,True,3,True
2024-01-11,Western Union,USA-Kenya,100,13.379300605144756,4.863537334548732,True,True,True,3,True
2024-01-13,Western Union,UK-Kenya,100,12.617701187657017,4.478257958417381,True,True,True,3,True
2024-01-14,WorldRemit,USA-Kenya,100,14.637285149539307,5.499928972092253,True,True,True,3,True
2024-01-14,Remitly,UK-Kenya,100,13.871244801419556,5.1124030094430335,True,True,True,3,True
2024-01-17,WorldRemit,USA-Kenya,200,10.693458551695567,3.5048183978225125,True,True,True,3,True
2024-01-17,Western Union,UK-Kenya,100,17.12220289234336,6.757003932631704,True,True,True,3,True
2024-01-17,Remitly,USA-Kenya,200,10.615043995196256,3.4651498913689114,True,True,True,3,True
2024-01-18,Wise,UK-Kenya,100,9.11170571920534,2.7046382368317214,True,True,True,3,True
2024-01-18,Paypal,UK-Kenya,200,9.075733852071126,2.686440719594292,True,True,True,3,True
2024-01-19,WorldRemit,USA-Kenya,100,13.874330203145014,5.113963858394075,True,True,True,3,True
2024-01-19,MoneyGram,USA-Kenya,200,9.677961540798066,2.9910968194730394,True,True,True,3,True
2024-01-20,Wise,USA-Kenya,100,10.291172141016393,3.3013089757120526,True,True,True,3,True
2024-01-22,Wise,UK-Kenya,100,16.740253246748882,6.563782512303347,True,True,True,3,True
2024-01-27,MoneyGram,UK-Kenya,200,8.604772857217899,2.4481900669378085,False,True,True,2,True
2024-01-27,Remitly,USA-Kenya,100,12.1007681938916,4.216750902652259,True,True,True,3,True
2024-01-30,Wise,USA-Kenya,100,16.699357296396116,6.543093990389573,True,True,True,3,True
2024-02-01,Paypal,USA-Kenya,500,8.431735204500416,2.3606534468257028,False,True,True,2,True
2024-02-01,Paypal,UK-Kenya,200,10.277568885147415,3.2944273345051265,True,True,True,3,True
2024-02-03,Western Union,UK-Kenya,200,11.053126976243123,3.686768151251859,True,True,True,3,True
2024-02-03,Paypal,USA-Kenya,200,11.46904690562215,3.8971745239882547,True,True,True,3,True
2024-02-03,Remitly,USA-Kenya,200,9.503862898192947,2.9030234637587213,True,True,True,3,True
2024-02-04,Western Union,USA-Kenya,100,12.504954742391048,4.421221570132855,True,True,True,3,True
2024-02-05,Paypal,USA-Kenya,200,9.863260344574456,3.0848361342329573,True,True,True,3,True
2024-02-06,MoneyGram,USA-Kenya,100,8.204927273924019,2.245915415273146,False,True,True,2,True
2024-02-07,MoneyGram,UK-Kenya,100,9.988349953565152,3.148116705890203,True,True,True,3,True
2024-02-09,MoneyGram,UK-Kenya,100,13.240435407861186,4.793287941826958,True,True,True,3,True
2024-02-10,Western Union,UK-Kenya,100,13.239075747201419,4.792600114080878,True,True,True,3,True
2024-02-11,Remitly,UK-Kenya,200,8.85299241139081,2.573759851760918,True,True,True,3,True
2024-02-13,WorldRemit,UK-Kenya,100,11.153028220020476,3.7373063843353997,True,True,True,3,True
2024-02-18,Western Union,USA-Kenya,100,10.958199419641158,3.6387460165896206,True,True,True,3,True
2024-02-19,Western Union,USA-Kenya,200,8.216184076242289,2.251610028050981,False,True,True,2,True
2024-02-23,Remitly,UK-Kenya,100,9.577550038377817,2.9403004557671704,True,True,True,3,True
2024-02-24,WorldRemit,USA-Kenya,100,15.397996458020568,5.884759069933605,True,True,True,3,True
2024-02-24,Paypal,USA-Kenya,200,10.89112409353897,3.6048138217887047,True,True,True,3,True
2024-02-25,Western Union,USA-Kenya,200,11.873702285893115,4.101882364985916,True,True,True,3,True
2024-02-26,MoneyGram,UK-Kenya,200,8.440587195832812,2.3651315092030556,False,True,True,2,True
2024-02-27,MoneyGram,USA-Kenya,200,9.575633885064573,2.939331108448689,True,True,True,3,True
2024-02-28,Wise,USA-Kenya,100,12.212152391787262,4.273098154620611,True,True,True,3,True
2024-02-28,Western Union,UK-Kenya,100,18.364132073988163,7.385273452429665,True,True,True,3,True
2024-03-01,WorldRemit,UK-Kenya,200,8.910060911895226,2.602629774408209,True,True,True,3,True
2024-03-02,Paypal,USA-Kenya,100,12.964284538469055,4.653588209612755,True,True,True,3,True
2024-03-04,Wise,UK-Kenya,100,8.765211964256476,2.5293533105636996,True,True,True,3,True
2024-03-04,Paypal,UK-Kenya,200,8.294398696368928,2.2911773903083543,False,True,True,2,True
2024-03-06,WorldRemit,USA-Kenya,200,12.07680285483771,4.204627270901178,True,True,True,3,True
2024-03-06,MoneyGram,UK-Kenya,100,11.0604160004479,3.6904555368166827,True,True,True,3,True
2024-03-09,MoneyGram,UK-Kenya,100,10.48732244461137,3.4005378680427967,True,True,True,3,True
2024-03-09,Western Union,USA-Kenya,100,11.476625973526074,3.9010086374166932,True,True,True,3,True
2024-03-10,Wise,UK-Kenya,100,10.850013438181781,3.5840166844949075,True,True,True,3,True
2024-03-11,MoneyGram,UK-Kenya,100,16.713496511615315,6.550246763742012,True,True,True,3,True
2024-03-11,Remitly,UK-Kenya,200,9.03251407359964,2.6645766150484165,True,True,True,3,True
2024-03-13,Western Union,UK-Kenya,500,8.40211538914834,2.345669317744279,False,True,True,2,True
2024-03-14,WorldRemit,USA-Kenya,100,11.954163690383977,4.142586334832887,True,True,True,3,True
2024-03-15,Remitly,USA-Kenya,200,10.954318895126043,3.636782929394547,True,True,True,3,True
2024-03-16,Wise,UK-Kenya,100,12.081827877408719,4.207169338971018,True,True,True,3,True
2024-03-17,Paypal,USA-Kenya,100,12.640396339619727,4.4897390254831135,True,True,True,3,True
2024-03-18,WorldRemit,USA-Kenya,200,9.063974656741172,2.6804919552747544,True,True,True,3,True
2024-03-18,MoneyGram,UK-Kenya,100,13.536342688756871,4.942982085438943,True,True,True,3,True
2024-03-19,Wise,UK-Kenya,100,13.531643586740367,4.940604894685215,True,True,True,3,True
2024-03-19,Remitly,USA-Kenya,100,9.22092268903045,2.7598891273011232,True,True,True,3,True
2024-03-22,Remitly,USA-Kenya,100,8.812889638877882,2.5534725841762276,True,True,True,3,True
2024-03-23,Western Union,UK-Kenya,100,11.68594068515292,4.006897165767627,True,True,True,3,True
2024-03-26,MoneyGram,UK-Kenya,100,14.53520729373742,5.448289630337097,True,True,True,3,True
2024-03-26,MoneyGram,UK-Kenya,200,10.145934242005175,3.2278357484001754,True,True,True,3,True
2024-03-27,Western Union,UK-Kenya,200,8.14665252730068,2.216435274522363,False,True,True,2,True
2024-03-27,Remitly,USA-Kenya,100,9.97124541243557,3.139463827770684,True,True,True,3,True
2024-03-29,Western Union,UK-Kenya,200,9.269658086939566,2.7845434840020196,True,True,True,3,True
2024-03-29,Remitly,USA-Kenya,200,11.492846688747473,3.909214403988207,True,True,True,3,True
2024-03-30,WorldRemit,USA-Kenya,500,7.881831423217937,2.0824670657440825,False,True,True,2,True
2024-03-31,Paypal,USA-Kenya,100,8.58203552735604,2.436687662835443,False,True,True,2,True
