date,fx_usd_kes,zscore,zscore_anomaly,iqr_anomaly,rolling_mean,rolling_std,rolling_zscore,rolling_anomaly,isolation_anomaly,daily_change_pct,sudden_change,anomaly_consensus,is_anomaly
2015-01-07,91.08000183105467,1.356510832023727,False,False,90.45500030517579,0.7338772134806169,0.8504842909996847,False,True,2.113349562957434,True,2,True
2015-02-03,89.76799774169922,1.442512773004511,False,False,90.99091688791911,0.7553828174156552,1.6167992160348919,False,True,-2.0534683609888083,True,2,True
2015-03-09,89.50800323486328,1.4595554273785665,False,False,91.17916742960612,0.5917341067053522,2.819416287737898,True,True,-1.6935747009453217,False,2,True
2015-03-11,91.5999984741211,1.3224250231683794,False,False,91.1120007832845,0.637309959914591,0.764515237866396,False,True,2.07833938940698,True,2,True
2015-03-27,92.1500015258789,1.2863722925555015,False,False,90.95596694946289,0.7252338949403708,1.6441460316501129,False,True,2.0238734285100035,True,2,True
2015-04-09,92.5500030517578,1.2601521703013399,False,False,90.74850056966146,0.785613446374631,2.2902004668228857,True,True,1.9542633031976564,False,2,True
2015-04-24,94.1500015258789,1.155272181391924,False,False,91.06546732584636,1.0087891539551987,3.0546319377177644,True,True,2.223626206542706,True,3,True
2015-04-30,94.58000183105467,1.1270856374874663,False,False,91.39200108846029,1.2022341444971962,2.6495264925569204,True,True,1.8665134109943082,False,2,True
2015-06-19,98.4499969482422,0.8734072424545728,False,False,95.43549982706706,0.8660709582287917,3.476644088429626,True,True,2.245341983276483,True,3,True
2015-07-17,102.4000015258789,0.6144842228421669,False,False,97.65746663411458,1.8495366734232979,2.562788924896653,True,True,1.698280904767846,False,2,True
2015-09-25,105.5500030517578,0.4080014477380862,False,False,103.00066630045573,1.1265172107537604,2.2610180376739426,True,True,1.774181837362132,False,2,True
2015-10-05,101.3000030517578,0.6865891839606884,False,False,103.30799992879231,0.935050842920237,2.1451792840334214,True,True,-2.829733283685565,True,3,True
2015-10-26,99.7689971923828,0.7869467031387638,False,False,102.4276336669922,1.5020314936677177,1.7688494790762863,False,True,-2.426408613806552,True,2,True
2015-10-30,101.9499969482422,0.6439820479183123,False,False,101.9561668395996,1.5760903195359,0.003912199118194849,False,True,2.2239548386855157,True,2,True
2016-03-24,101.5500030517578,0.6702016700652411,False,False,99.98206634521485,0.44385034272388824,3.524638639013359,True,True,1.8412722605308574,False,2,True
2016-04-11,101.01000213623048,0.7055987600922735,False,False,99.81756642659505,0.42416578149764933,2.8046370651821273,True,True,1.662674770860173,False,2,True
2016-05-20,100.8000030517578,0.7193642117515827,False,False,99.30200068155925,0.5018114657561538,2.979252607029905,True,True,1.8490469925061204,False,2,True
2016-09-09,101.1500015258789,0.6964217923194028,False,False,99.64413324991862,0.29942071977141904,5.0125313497219866,True,True,1.6327555640152092,False,2,True
2017-05-19,103.25,0.5587667756190936,False,False,101.52799987792969,0.38364283349543465,4.476880815435109,True,True,1.6740491355532017,False,2,True
2018-04-02,100.9499969482422,0.709532103500101,False,False,99.67760009765625,0.3775456545333499,3.361277128262083,True,True,2.083120205590161,True,3,True
2021-12-14,112.8000030517578,0.06723645522988216,False,False,111.25778198242188,0.5508833003710787,2.7944695342275354,True,True,1.5275286977296965,False,2,True
2022-11-07,118.57051849365234,0.4454940631816398,False,False,120.27801742553712,0.5489647231833633,3.1047426496762327,True,True,-1.6420443865568068,False,2,True
2023-03-14,128.8000030517578,1.1160373445385028,False,False,125.44727096557617,1.559702500238451,2.148219846940337,True,True,1.452643811737353,False,2,True
2023-03-20,125.80121612548828,0.9194666948435937,False,False,126.06484578450521,1.7942890450081512,0.14684524464177917,False,True,-3.1553333052981913,True,2,True
2023-03-21,129.0,1.1291471556119663,False,False,126.20484568277995,1.8550213877259047,1.505992514797916,False,True,2.542728896452706,True,2,True
2023-10-06,143.4259490966797,2.074768920719375,False,False,145.76486511230468,1.2462290310056674,1.8752899086538026,False,True,-2.827951784709659,True,2,True
2023-10-09,147.8000030517578,2.361488400592489,False,False,145.89153188069662,1.2537560203099933,1.5209898499548125,False,True,3.0496949698618936,True,2,True
2023-10-30,146.1316680908203,2.2521289511739946,False,False,147.616254679362,1.3185242149443417,1.1250923414120864,False,True,-2.1221265212158946,True,2,True
2023-10-31,149.60000610351562,2.479478700682603,False,False,147.73458811442057,1.332339380922069,1.3990571461296097,False,True,2.373433532928515,True,2,True
2023-11-07,151.1999969482422,2.584358189484782,False,False,148.2688461303711,1.4152306492945539,2.069684637407862,True,True,2.593516395374995,True,3,True
2023-12-18,154.1592254638672,2.778335783163215,False,False,151.7972391764323,0.939282833125431,2.511995544557396,True,True,1.0548819271825272,False,2,True
2023-12-28,156.0,2.8989986563202623,False,False,152.6531234741211,1.3262801622431317,2.5216051750691575,True,True,0.6451612903225712,False,2,True
2024-01-12,158.5,3.0628737952747342,True,False,154.48877970377603,1.982694938395188,2.022095342678573,True,False,0.31645569620253333,False,2,True
2024-01-16,159.0,3.0956488230656287,True,False,154.90137583414713,2.0081063518405533,2.0400234970628093,True,True,1.49694054666909,False,3,True
2024-01-18,158.5,3.0628737952747342,True,False,155.2787089029948,2.02520445584764,1.5898154244545946,False,True,0.6540920628134606,False,2,True
2024-01-19,160.75,3.2103614203337587,True,False,155.5287089029948,2.219711894994687,2.351178965976448,True,True,1.4195583596214423,False,3,True
2024-01-22,157.7488555908203,3.013636237503056,True,False,155.6678263346354,2.2238462232089855,0.935358693322792,False,True,-1.8669638626312213,False,2,True
2024-01-23,161.5,3.2595239620201,True,False,155.97115987141927,2.378020420527658,2.323998600799925,True,True,2.37792178911882,True,4,True
2024-01-24,162.0,3.2922989898109947,True,False,156.2911600748698,2.5224245005081456,2.2623383120757565,True,True,0.3095975232198178,False,3,True
2024-01-25,162.5,3.325074017601889,True,False,156.6294932047526,2.652903775688643,2.2120269954867138,True,True,0.30864197530864335,False,3,True
2024-01-26,163.0,3.3578490453927836,True,False,156.9778264363607,2.7817142479578725,2.1641365325450703,True,True,0.3076923076922977,False,3,True
2024-01-29,161.2683563232422,3.244339706133456,True,False,157.2147974650065,2.8356083564081525,1.4290160462505592,False,True,-1.0623580839004942,False,2,True
2024-01-30,161.0,3.226748934229206,True,False,157.4764643351237,2.809654607744412,1.2536352404054338,False,True,-0.16640358304657044,False,2,True
2024-01-31,160.25,3.1775863925428647,True,False,157.7014643351237,2.749872052857983,0.9264464562168725,False,True,-0.46583850931677384,False,2,True
2024-02-01,159.5,3.1284238508565227,True,False,157.88479766845703,2.67696207053815,0.6031460823559728,False,True,-0.46801872074883066,False,2,True
2024-02-05,162.5984649658203,3.3315284015842694,True,False,158.36278584798177,2.6174485505887435,1.6176293083498527,False,True,1.6240406036376998,False,2,True
2024-02-06,161.29017639160156,3.245770012827211,True,False,158.6067916870117,2.5336831828672883,1.058666709404823,False,True,-0.8046131151937752,False,2,True
2024-02-07,160.0,3.161198878647417,True,False,158.7734583536784,2.451359323537549,0.5001476066534616,False,True,-0.7999100878091303,False,2,True
