date,fx_usd_kes,zscore,fx_zscore_anomaly,fx_iqr_anomaly,daily_pct_change,fx_spike_anomaly,fx_isolation_anomaly,fx_anomaly_votes,is_fx_anomaly
2015-01-07,91.08000183105467,1.356510832023727,False,False,2.113349562957434,True,True,2,True
2015-02-03,89.76799774169922,1.442512773004511,False,False,-2.0534683609888083,True,True,2,True
2015-03-27,92.1500015258789,1.2863722925555015,False,False,2.0238734285100035,True,True,2,True
2015-04-24,94.1500015258789,1.155272181391924,False,False,2.223626206542706,True,True,2,True
2023-10-31,149.60000610351562,2.479478700682603,False,False,2.373433532928515,True,True,2,True
2023-11-07,151.1999969482422,2.584358189484782,False,False,2.593516395374995,True,True,2,True
2024-01-11,158.0,3.0300987674838398,True,False,0.4769475357710551,False,True,2,True
2024-01-12,158.5,3.0628737952747342,True,False,0.31645569620253333,False,True,2,True
2024-01-16,159.0,3.0956488230656287,True,False,1.49694054666909,False,True,2,True
2024-01-18,158.5,3.0628737952747342,True,False,0.6540920628134606,False,True,2,True
2024-01-19,160.75,3.2103614203337587,True,False,1.4195583596214423,False,True,2,True
2024-01-22,157.7488555908203,3.013636237503056,True,False,-1.8669638626312213,False,True,2,True
2024-01-23,161.5,3.2595239620201,True,False,2.37792178911882,True,True,3,True
2024-01-24,162.0,3.2922989898109947,True,False,0.3095975232198178,False,True,2,True
2024-01-25,162.5,3.325074017601889,True,False,0.30864197530864335,False,True,2,True
2024-01-26,163.0,3.3578490453927836,True,False,0.3076923076922977,False,True,2,True
2024-01-29,161.2683563232422,3.244339706133456,True,False,-1.0623580839004942,False,True,2,True
2024-01-30,161.0,3.226748934229206,True,False,-0.16640358304657044,False,True,2,True
2024-01-31,160.25,3.1775863925428647,True,False,-0.46583850931677384,False,True,2,True
2024-02-01,159.5,3.1284238508565227,True,False,-0.46801872074883066,False,True,2,True
2024-02-02,160.0,3.161198878647417,True,False,0.31347962382444194,False,True,2,True
2024-02-05,162.5984649658203,3.3315284015842694,True,False,1.6240406036376998,False,True,2,True
2024-02-06,161.29017639160156,3.245770012827211,True,False,-0.8046131151937752,False,True,2,True
2024-02-07,160.0,3.161198878647417,True,False,-0.7999100878091303,False,True,2,True
2024-02-08,160.0,3.161198878647417,True,False,0.0,False,True,2,True
2024-02-09,159.0,3.0956488230656287,True,False,-0.6249999999999978,False,True,2,True
2024-02-12,160.96090698242188,3.2241863847541,True,False,1.2332748317118725,False,True,2,True
2024-02-13,159.0,3.0956488230656287,True,False,-1.2182504554575035,False,True,2,True
2024-02-14,158.5,3.0628737952747342,True,False,-0.3144654088050314,False,True,2,True
2024-02-15,154.5,2.8006735729475793,False,False,-2.5236593059936863,True,True,2,True
2024-02-16,149.5,2.4729232950386355,False,False,-3.2362459546925515,True,True,2,True
