date,provider,total_cost_pct,provider_zscore,provider_zscore_anomaly,provider_iqr_anomaly,provider_isolation_anomaly,provider_anomaly_votes,is_provider_anomaly
2024-01-03,WorldRemit,7.949376757212212,2.544421857442721,True,False,True,2,True
2024-01-05,Western Union,8.882442826212069,3.1719786561534025,True,True,True,3,True
2024-01-12,Wise,10.141686372370398,4.018914232185295,True,True,True,3,True
2024-01-17,WorldRemit,10.482086503705828,4.247858809422505,True,True,True,3,True
2024-01-24,Wise,11.255552800947628,4.768072810911121,True,True,True,3,True
2024-01-26,MoneyGram,9.52921367326891,3.6069804805295163,True,True,True,3,True
2024-01-27,Wise,9.290077067405877,3.4461432067115934,True,True,True,3,True
2024-01-29,Wise,9.863716069222226,3.8319583891041216,True,True,True,3,True
2024-02-13,Wise,11.263402554802106,4.773352358162113,True,True,True,3,True
2024-02-22,Wise,10.147716058923997,4.022969647891132,True,True,True,3,True
2024-03-02,Western Union,11.879769668795607,5.187905395443724,True,True,True,3,True
2024-03-08,WorldRemit,8.52057627063332,2.928596301222334,True,True,True,3,True
2024-03-14,Wise,11.17855749210499,4.716287700361748,True,True,True,3,True
2024-03-28,WorldRemit,11.914311591784209,5.211137425127617,True,True,True,3,True
2024-04-06,MoneyGram,8.718638171039107,3.061807759976203,True,True,True,3,True
2024-04-11,Wise,10.667932707649893,4.372854297603404,True,True,True,3,True
2024-04-12,MoneyGram,7.95480028153183,2.548069583657219,True,False,True,2,True
2024-05-06,Wise,11.35462433563334,4.834705836391687,True,True,True,3,True
2024-06-02,Western Union,10.710313060988497,4.401358258633635,True,True,True,3,True
2024-06-09,WorldRemit,10.03526350011338,3.9473368817252172,True,True,True,3,True
2024-06-30,Western Union,8.8462185939564,3.147615147517314,True,True,True,3,True
2024-07-05,Wise,9.757027818275848,3.7602025516040856,True,True,True,3,True
2024-07-16,Western Union,9.122907840768413,3.3337093842878534,True,True,True,3,True
2024-07-20,MoneyGram,11.321625315348186,4.812511524307294,True,True,True,3,True
2024-08-08,WorldRemit,10.692709190098453,4.389518337295038,True,True,True,3,True
2024-08-24,Wise,9.660884113681623,3.6955387110938314,True,True,True,3,True
2024-09-12,Wise,8.941384233579047,3.211621166097389,True,True,True,3,True
2024-09-12,Western Union,8.28467677528156,2.7699362266157217,True,True,True,3,True
2024-09-26,WorldRemit,9.427421930464192,3.538517911401714,True,True,True,3,True
2024-10-03,Wise,11.277100198298264,4.782565049082858,True,True,True,3,True
2024-10-11,Wise,10.662275523746116,4.3690494178223,True,True,True,3,True
2024-11-07,Western Union,8.087752208847533,2.637489710120601,True,False,True,2,True
2024-11-13,MoneyGram,10.79481663484911,4.458193239621016,True,True,True,3,True
2024-12-13,Wise,9.443719888516018,3.549479508570806,True,True,True,3,True
